"HP_ACCT","SKU","PARTNO","DEAL_NAME","PRODUCT_NAME","BRMPACKAGEID","STATUS","QUANTITY","PURCHASE_START_DATE","PURCHASE_END_DATE","CYCLE_START_DATE","CYCLE_END_DATE","CREATED_DATE","MRC_PARTNER_PRICE","MRC_EU_PRICE","ONETIME_PARTNER_PRICE","ONETIME_EU_PRICE"
"1691808","VUSR000009","UN161R","1:::200219:ACCT:2:Service_Line","1:::200219:MRC:Service_Line:2","9731466398-6080682",1,1,30-DEC-2021 08:00:00,01-JAN-1970 00:00:00,06-JAN-2022 08:00:00,01-JAN-1970 00:00:00,30-DEC-2021 12:14:50,14.8,19.99,0,0
"1691808","VUSR000009","UN161R","1:::200219:ACCT:2:Service_Line","1:::151016:MRC:Reg_Fee:1","9731466398-6080682",1,1,30-DEC-2021 08:00:00,01-JAN-1970 00:00:00,06-JAN-2022 08:00:00,01-JAN-1970 00:00:00,30-DEC-2021 12:14:50,0,0,0,0
"1691808","VUSR000009","UN161R","1:::200219:ACCT:2:Service_Line","1:::151016:MRC:Reg_Fee2:1","9731466398-6080682",1,1,30-DEC-2021 08:00:00,01-JAN-1970 00:00:00,06-JAN-2022 08:00:00,01-JAN-1970 00:00:00,30-DEC-2021 12:14:50,0,0,0,0
"1691808","VUSR000009","UN161R","1:::200219:ACCT:2:Service_Line","1:::151016:MRC:Reg_Fee3:1","9731466398-6080682",1,1,30-DEC-2021 08:00:00,01-JAN-1970 00:00:00,06-JAN-2022 08:00:00,01-JAN-1970 00:00:00,30-DEC-2021 12:14:50,0,0,0,0
"1691808","VUSR000009","UN161R","1:::200219:ACCT:2:Service_Line","1:::151016:MRC:LINE_TAX:0","9731466398-6080682",3,1,30-DEC-2021 08:00:00,16-JUN-2024 07:00:00,06-JAN-2022 08:00:00,16-JUN-2024 07:00:00,30-DEC-2021 12:14:50,0,0,0,0
"1691808","VUSR000009","UN161R","1:::200219:ACCT:2:Service_Line","1:::151016:MRC:LINE_TAX:1","9731466398-6080682",3,1,30-DEC-2021 08:00:00,16-JUN-2024 07:00:00,06-JAN-2022 08:00:00,16-JUN-2024 07:00:00,30-DEC-2021 12:14:50,0,0,0,0
"1691808","VUSR000009","UN161R","1:::200219:ACCT:2:Service_Line","1:::200219:MRC:Service_Line:2","9731466398-6080683",1,1,30-DEC-2021 08:00:00,01-JAN-1970 00:00:00,06-JAN-2022 08:00:00,01-JAN-1970 00:00:00,30-DEC-2021 12:14:51,14.8,19.99,0,0
"1691808","VUSR000009","UN161R","1:::200219:ACCT:2:Service_Line","1:::151016:MRC:Reg_Fee:1","9731466398-6080683",1,1,30-DEC-2021 08:00:00,01-JAN-1970 00:00:00,06-JAN-2022 08:00:00,01-JAN-1970 00:00:00,30-DEC-2021 12:14:51,0,0,0,0
"1691808","VUSR000009","UN161R","1:::200219:ACCT:2:Service_Line","1:::151016:MRC:Reg_Fee2:1","9731466398-6080683",1,1,30-DEC-2021 08:00:00,01-JAN-1970 00:00:00,06-JAN-2022 08:00:00,01-JAN-1970 00:00:00,30-DEC-2021 12:14:51,0,0,0,0
"1691808","VUSR000009","UN161R","1:::200219:ACCT:2:Service_Line","1:::151016:MRC:Reg_Fee3:1","9731466398-6080683",1,1,30-DEC-2021 08:00:00,01-JAN-1970 00:00:00,06-JAN-2022 08:00:00,01-JAN-1970 00:00:00,30-DEC-2021 12:14:51,0,0,0,0
